"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","US dollar",
"202505","502","United States","2208","Undenatured ethyl alcohol of an alcoholic strength by volume of Undenatured ethyl alcohol of an alcoholic strength by volume of less than 80% vol.; spirits, liqueurs and other spirituous beverages.","703,783",
"202505","502","United States","2209","Vinegar and substitutes for vinegar obtained from acetic acid.","239,963",
"202505","502","United States","2303","Residues of starch manufacture and similar residues, beetpulp, bagasse and other waste of sugar manufacture, brewing ordistilling dregs and waste, whether or not in the form of pellets.","29,410",
"202505","502","United States","2306","Oil-cake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable or microbial fats or oils, other than those of heading 23.04 or 23.05","42,969",
"202505","502","United States","2308","Vegetable materials and vegetable waste, vegetable residues and byproducts, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.","359,171",
"202505","502","United States","2309","Preparations of a kind used in animal feeding.","14,758,172",
"202505","502","United States","2404","Products containing tobacco, reconstituted tobacco, nicotine, or tobacco or nicotine substitutes, intended for inhalation without combustion; other nicotine containing products intended for the intake of nicotine into the human body","148,489,589",
"202505","502","United States","2501","Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water","110,398",
"202505","502","United States","2504","Natural graphite.","81,000",
"202505","502","United States","2506","Quartz (excluding natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape","62,862",
"202505","502","United States","2507","Kaolin and other kaolinic clays, whether or not calcined","14,361",
"202505","502","United States","2508","Other clays (not including expanded clays of heading 68.06), andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths.","1,063,343",
"202505","502","United States","2512","Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of 1 or less.","3,585",
"202505","502","United States","2513","Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated","95,124",
"202505","502","United States","2515","Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of 2.5 or more, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape.","9,460",
"202505","502","United States","2517","Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macadam; granules, chippings and powder, of stones of heading 2515 and 2516, whether or not heat-treated","524,371",
"202505","502","United States","2518","Dolomite, whether or not calcined or sintered, including dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape","29,160",
"202505","502","United States","2519","Natural magnesium carbonate "magnesite"; fused magnesia; dead-burned "sintered" magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure","10,041,319",
"202505","502","United States","2520","Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders","17,441",
"202505","502","United States","2521","Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement","2,952",
"202505","502","United States","2525","Mica, including splittings; mica waste.","244,773",
"202505","502","United States","2526","Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape; talc.","47,227",
"202505","502","United States","2529","Feldspar; leucite, nepheline and nepheline syenite; fluorspar.","138,859",
"202505","502","United States","2530","Mineral substances not elsewhere specified or included.","17,183",
"202505","502","United States","2602","Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20% or more,calculated on the dry weight.","1",
"202505","502","United States","2615","Niobium, tantalum, vanadium or zirconium ores and concentrates.","771,872",
"202505","502","United States","2621","Other slag and ash, including seaweed ash (kelp); ash and residues from the incineration of municipal waste.","11,290",
"202505","502","United States","2701","Mituminous substances; mineral waxes","5,406",
"202505","502","United States","2710","Petroleum oils and oils obtained from bituminous minerals, other than crude; preparations not elsewhere specified or 
included, containing by weight 70% or more of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations; waste oils.","47,823,708",
"202505","502","United States","2711","Petroleum gases and other gaseous hydrocarbons.","863,182",
"202505","502","United States","2712","Petroleum jelly, paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured","4,020,444",
"202505","502","United States","2713","Petroleum coke, petroleum bitumen and other residues of petroleum oils or of oils obtained from bituminous minerals.","1,770",
"202505","502","United States","2803","Carbon (carbon blacks and other forms of carbon not elsewhere specified or included).","119,947",
"202505","502","United States","2804","ydrogen, rare gases and other nonmetals.","185,961",
"202505","502","United States","2805","Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury","1,271,061",
"202505","502","United States","2806","Hydrogen chloride "hydrochloric acid"; chlorosulphuric acid","310,995",
"202505","502","United States","2807","Sulphuric acid; oleum.","35,616",
"202505","502","United States","2808","Nitric acid; sulphonitric acids.","37,830",
"202505","502","United States","2809","Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined","39,747",
"202505","502","United States","2810","Oxides of boron; boric acids.","22,780",
"202505","502","United States","2811","Other inorganic acids and other inorganic oxygen compounds of nonmetals.","4,302,736",
"202505","502","United States","2812","Halides and halide oxides of nonmetals.","53,750",
"202505","502","United States","2815","Sodium hydroxide (caustic soda), potassium hydroxide (caustic potash); peroxides of sodium or potassium","69,621",
"202505","502","United States","2816","Oydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium.","325,398",
"202505","502","United States","2817","Zinc oxide; zinc peroxide.","94,808",
"202505","502","United States","2818","Artificial corundum, whether or not chemically defined;aluminium oxide; aluminium hydroxide.","9,964,498",
"202505","502","United States","2819","Chromium oxides and hydroxides","138",
"202505","502","United States","2820","Manganese oxides.","4,111",
"202505","502","United States","2821","Iron oxides and hydroxides; earth colours containing 70% or more by weight of combined iron evaluated as Fe2O3.","3,850,123",
"202505","502","United States","2822","Cobalt oxides and hydroxides; commercial cobalt oxides.","18,300",
"202505","502","United States","2823","Titanium oxides.","725,178",
"202505","502","United States","2825","Hydrazine and hydroxylamine and their inorganic salts; other inorganic bases; other metal oxides, hydroxides and peroxides.","1,467,374",
