"Date of data","Trading partner code","Trading partner","Commodity code","Commodity","Renminbi Yuan",
"202505","502","United States","2846","Compounds, inorganic or organic, of rareearth metals, of yttrium or of scandium or of mixtures of these metals.","9,132,267",
"202505","502","United States","2849","Carbides, whether or not chemically defined","28,375,221",
"202505","502","United States","2850","Hydrides, nitrides, azides, silicides and borides, whether or not 
chemically defined, other than compounds which are also 
carbides of heading 28.49.","5,474,997",
"202505","502","United States","2853","Inorganic compounds, incl. distilled or conductivity water and water of similar purity, n.e.s.; liquid air, whether or not rare gases have been removed; compressed air; amalgams (excluding amalgams of precious metals)","1,249,211",
"202505","502","United States","2901","Acyclic hydrocarbons.","2,084,597",
"202505","502","United States","2902","Cyclic hydrocarbons.","1,728,229",
"202505","502","United States","2903","Halogenated derivatives of hydrocarbons","74,781,462",
"202505","502","United States","2904","Sulphonated, nitrated or nitrosated derivatives of hydrocarbons,whether or not halogenated.","3,754,251",
"202505","502","United States","2905","Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.","28,547,403",
"202505","502","United States","2906","Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives.","12,162,340",
"202505","502","United States","2907","henols; phenolalcohols.","15,181,187",
"202505","502","United States","2908","Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenolalcohols.","33,908",
"202505","502","United States","2909","Others, etheralcohols, etherphenols, etheralcoholphenols, 
alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides (whether or 
not chemically defined), and their halogenated, sulphonated, 
nitrated or nitrosated derivatives.","25,272,174",
"202505","502","United States","2910","Epoxides, epoxyalcohols, epoxyphenols and epoxyethers, with a 
threemembered ring, and their halogenated, sulphonated, 
nitrated or nitrosated derivatives.","13,261,326",
"202505","502","United States","2911","Acetals and hemiacetals, whether or not with other oxygen 
function, and their halogenated, sulphonated, nitrated or 
nitrosated derivatives.","1,377,017",
"202505","502","United States","2912","Aldehydes, whether or not with other oxygen function; cyclic polymers of aldehydes; paraformaldehyde.","23,677,175",
"202505","502","United States","2913","Halogenated, sulphonated, nitrated or nitrosated derivatives of products of heading 29.12.","34,380",
"202505","502","United States","2914","Ketones and quinones, whether or not with other oxygen 
function, and their halogenated, sulphonated, nitrated or 
nitrosated derivatives.","176,312,486",
"202505","502","United States","2915","Saturated acyclic monocarboxylic acids and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives.","15,624,496",
"202505","502","United States","2916","Unsaturated acyclic monocarboxylic acids, cyclic monocarboxylic 
acids, their anhydrides, halides, peroxides and peroxyacids; their 
halogenated, sulphonated, nitrated or nitrosated derivatives.","55,888,751",
"202505","502","United States","2917","Polycarboxylic acids, their anhydrides, halides, peroxides and 
peroxyacids; their halogenated, sulphonated, nitrated or 
nitrosated derivatives.","99,278,844",
"202505","502","United States","2918","arboxylic acids with additional oxygen function and their 
anhydrides, halides, peroxides and peroxyacids; their 
halogenated, sulphonated, nitrated or nitrosated derivatives.","77,145,344",
"202505","502","United States","2919","Phosphoric esters and their salts, including lactophosphates; 
their halogenated, sulphonated, nitrated or nitrosated 
derivatives.","11,478,956",
"202505","502","United States","2920","Esters of other inorganic acids of nonmetals (excluding esters 
of hydrogen halides) and their salts; their halogenated, 
sulphonated, nitrated or nitrosated derivatives.","20,609,728",
"202505","502","United States","2921","Amine-function compounds.","48,450,398",
"202505","502","United States","2922","Oxygenfunction aminocompounds.","228,286,125",
"202505","502","United States","2923","uaternary ammonium salts and hydroxides; lecithins and other phosphoaminolipids, whether or not chemically defined.","48,511,357",
"202505","502","United States","2924","arboxyamidefunction compounds; amidefunction compounds of carbonic acid.","131,713,033",
"202505","502","United States","2925","arboxyimidefunction compounds (including saccharin and its salts) and iminefunction compounds.","73,955,260",
"202505","502","United States","2926","Nitrilefunction compounds.","43,283,979",
"202505","502","United States","2927","Diazo, azo or azoxycompounds.","3,479,237",
"202505","502","United States","2928","Organic derivatives of hydrazine or of hydroxylamine.","11,422,700",
"202505","502","United States","2929","Compounds with other nitrogen function.","10,931,421",
"202505","502","United States","2930","Organo-sulphur compounds.","96,503,829",
"202505","502","United States","2931","ther organoinorganic compounds.","257,285,188",
"202505","502","United States","2932","Heterocyclic compounds with oxygen heteroatom(s) only.","165,695,226",
"202505","502","United States","2933","Heterocyclic compounds with nitrogen heteroatom(s) only.","497,691,236",
"202505","502","United States","2934","ucleic acids and their salts, whether or not chemically defined; other heterocyclic compounds.","286,622,077",
"202505","502","United States","2935","Sulphonamides.","90,222,085",
"202505","502","United States","2936","rovitamins and vitamins, natural or reproduced by synthesis 
(including natural concentrates), derivatives thereof used 
primarily as vitamins, and intermixtures of the foregoing, 
whether or not in any solvent.","281,859,829",
"202505","502","United States","2937","ormones, prostaglandins, thromboxanes and leukotrienes, 
natural or reproduced by synthesis; derivatives and structural 
analogues thereof, including chain modified polypeptides, used 
primarily as hormones.","147,947,543",
