Date of data,Trading partner code,Trading partner,Commodity code,Commodity,US dollar
201902,502,United States,220600,"Other fermented beverages (for example, cider, perry, mead, saké); mixtures of fermented beverages and mixtures of fermented beverages and nonalcoholic beverages, not elsewhere specified or included.",54762
201902,502,United States,220820,Spirits obtained by distilling grape wine or grape marc,147233
201902,502,United States,220830,Whiskies,2481
201902,502,United States,220840,Rum and other spirits obtained by distilling fermented sugarcane products,413
201902,502,United States,220850,Gin and Geneva,525
201902,502,United States,220860,Vodka,41704
201902,502,United States,220870,Liqueurs and cordials,631
201902,502,United States,220890,"Ethyl alcohol of an alcoholic strength of < 80% vol, not denatured; spirits and other spirituous beverages (excluding compound alcoholic preparations of a kind used for the manufacture of beverages, spirits obtained by distilling grape wine or grape marc, whiskies, rum and other spirits obtained by distilling fermented sugar-cane products, gin, geneva, vodka, liqueurs and cordials)",1838139
201902,502,United States,220900,Vinegar and substitutes for vinegar obtained from acetic acid.,97616
201902,502,United States,230310,Residues of starch manufacture and similar residues,42519
201902,502,United States,230330,Brewing or distilling dregs and waste,238670
201902,502,United States,230400,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soyabean oil.",784334
201902,502,United States,230630,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of sunflower seeds",70410
201902,502,United States,230641,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of low erucic acid rape or colza seeds",83394
201902,502,United States,230690,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils (excluding of cotton seeds, linseed, sunflower seeds, rape or colza seeds, coconut or copra, palm nuts or kernels, or from the extraction of soya-bean oil or groundnut oil)",17719
201902,502,United States,230800,"Vegetable materials and vegetable waste, vegetable residues and byproducts, whether or not in the form of pellets, of a kind used in animal feeding, not elsewhere specified or included.",3169746
201902,502,United States,230910,"Dog or cat food, put up for retail sale",10877224
201902,502,United States,230990,Preparations of a kind used in animal feeding (excluding dog or cat food put up for retail sale),2595368
201902,502,United States,240120,"Tobacco, partly or wholly stemmed/stripped",392040
201902,502,United States,250100,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water",86097
201902,502,United States,250410,Natural graphite in powder or in flakes,1376205
201902,502,United States,250610,Quartz (excluding quartz sands),158442
201902,502,United States,250620,"Quartzite, merely cut, by sawing or otherwise, in blocks or slabs of a square or rectangular shape",6063
201902,502,United States,250810,Bentonite,417270
201902,502,United States,250830,Fireclay,1780451
201902,502,United States,250840,Other clays,1087
201902,502,United States,251110,Natural barium sulphate (barytes),20800
201902,502,United States,251310,Pumice stone,18551
201902,502,United States,251320,"Emery, natural corundum, natural garnet and other natural abrasives",814661
